message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,location.lat,location.lon,location.heading,location.speed_kmh,location.zone,haul_cycle.cycle_id,haul_cycle.cycle_state,haul_cycle.payload_tonnes,haul_cycle.target_payload_tonnes,fuel.total_litres,fuel.level_pct,fuel.engine_on,fuel.idle_flag,operating.engine_hours,operating.odometer_km,operating.geofence_violation,operating.harsh_braking_flag,operating.speeding_flag,diagnostics.engine_temp_c,diagnostics.battery_voltage,diagnostics.fault_codes,diagnostics.health_index,equipment_health.operating_state,equipment_health.bearing_temp_c,equipment_health.vibration_m_s2,equipment_health.hydraulic_pressure_psi,equipment_health.health_index,air_quality.pm2_5_ug_m3,air_quality.pm10_ug_m3,air_quality.dust_mg_m3,air_quality.ambient_temp_c,air_quality.relative_humidity_pct,air_quality.alert_flag,production.operating_state,production.material_type,production.throughput_tph,production.target_throughput_tph,production.total_tonnes,production.load_count,production.production_loss_reason,production.alert_flag,maintenance.status,maintenance.downtime_active,maintenance.downtime_reason,maintenance.downtime_minutes_total,maintenance.work_order_id,maintenance.priority,maintenance.inspection_due,safety.event_type,safety.severity,safety.alert_flag,safety.geofence_violation,safety.speeding_flag,safety.harsh_braking_flag,safety.fatigue_risk_flag
d2887a88-3132-40ee-80b5-7d7e4f7d757a,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-001,haul_truck,2026-09-01T16:18:01.854Z,1,-16.552565,-71.509228,127.0,0.8,Pit-A,cycle-acme-s01-truck-001-00001,loading,226.9,240.0,131012.92,40.6,True,True,14355.85,35756.78,False,False,False,91.2,25.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e0d0c89-a8c9-4a10-8390-530460b9dd1d,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-002,haul_truck,2026-09-01T16:18:01.854Z,1,-16.574077,-71.527701,50.0,0.7,Pit-A,cycle-acme-s01-truck-002-00001,loading,223.3,240.0,51225.92,41.3,True,True,13318.44,40023.09,False,False,False,91.0,24.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfa3c4df-e8ea-4d5d-bc13-35993f346876,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-003,haul_truck,2026-09-01T16:18:01.854Z,1,-16.548991,-71.591955,130.4,0.1,Pit-A,cycle-acme-s01-truck-003-00001,loading,218.5,240.0,132403.93,85.8,True,True,9693.82,303001.7,False,False,False,87.9,24.8,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14fddb6f-f6eb-4b76-b795-3a36c3b12125,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-004,haul_truck,2026-09-01T16:18:01.854Z,1,-16.654925,-71.481901,173.3,0.2,Pit-A,cycle-acme-s01-truck-004-00001,loading,225.7,240.0,158101.62,31.5,True,True,4096.17,623044.24,False,False,False,93.2,24.5,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0eed9416-15fd-43b1-9a84-583a733697fb,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-005,haul_truck,2026-09-01T16:18:01.854Z,1,-16.582073,-71.484795,15.5,0.3,Pit-A,cycle-acme-s01-truck-005-00001,loading,226.0,240.0,438170.96,51.5,True,True,16270.32,357823.7,False,False,False,86.2,24.6,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5db363ca-a330-4543-b876-38e71d1bf39e,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-006,haul_truck,2026-09-01T16:18:01.854Z,1,-16.624098,-71.604733,20.1,0.2,Pit-A,cycle-acme-s01-truck-006-00001,loading,216.5,240.0,30162.75,41.0,True,True,13039.87,463880.26,False,False,False,91.7,24.2,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f60183-1b07-4464-9c4f-6cf2401c34c1,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-007,haul_truck,2026-09-01T16:18:01.854Z,1,-16.613557,-71.510272,6.7,0.3,Pit-A,cycle-acme-s01-truck-007-00001,loading,223.2,240.0,377008.61,36.4,True,True,8858.68,305648.49,False,False,False,91.6,24.8,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d51d50b-e730-4a9c-93cf-2fcc1287374f,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-008,haul_truck,2026-09-01T16:18:01.854Z,1,-16.609687,-71.459176,357.3,1.0,Pit-A,cycle-acme-s01-truck-008-00001,loading,217.0,240.0,330815.81,36.4,True,True,13713.58,127817.35,False,False,False,90.5,25.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549462cb-4f3d-4f0b-bd9a-74413291b100,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-009,haul_truck,2026-09-01T16:18:01.854Z,1,-16.538912,-71.488693,295.3,0.3,Pit-A,cycle-acme-s01-truck-009-00001,loading,223.2,240.0,348057.99,28.9,True,True,5455.84,224298.12,False,False,False,93.9,24.1,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de67178b-833a-4e15-952c-ff8fb4a02957,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-010,haul_truck,2026-09-01T16:18:01.854Z,1,-16.56553,-71.554199,163.2,1.0,Pit-A,cycle-acme-s01-truck-010-00001,loading,224.7,240.0,395601.78,47.0,True,True,5272.84,614033.12,False,False,False,89.4,24.6,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
