message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,location.lat,location.lon,location.heading,location.speed_kmh,location.zone,haul_cycle.cycle_id,haul_cycle.cycle_state,haul_cycle.payload_tonnes,haul_cycle.target_payload_tonnes,fuel.total_litres,fuel.level_pct,fuel.engine_on,fuel.idle_flag,operating.engine_hours,operating.odometer_km,operating.geofence_violation,operating.harsh_braking_flag,operating.speeding_flag,diagnostics.engine_temp_c,diagnostics.battery_voltage,diagnostics.fault_codes,diagnostics.health_index,equipment_health.operating_state,equipment_health.bearing_temp_c,equipment_health.vibration_m_s2,equipment_health.hydraulic_pressure_psi,equipment_health.health_index,air_quality.pm2_5_ug_m3,air_quality.pm10_ug_m3,air_quality.dust_mg_m3,air_quality.ambient_temp_c,air_quality.relative_humidity_pct,air_quality.alert_flag,production.operating_state,production.material_type,production.throughput_tph,production.target_throughput_tph,production.total_tonnes,production.load_count,production.production_loss_reason,production.alert_flag,maintenance.status,maintenance.downtime_active,maintenance.downtime_reason,maintenance.downtime_minutes_total,maintenance.work_order_id,maintenance.priority,maintenance.inspection_due,safety.event_type,safety.severity,safety.alert_flag,safety.geofence_violation,safety.speeding_flag,safety.harsh_braking_flag,safety.fatigue_risk_flag
3ad4232e-cdfb-4e75-bcce-efe46e3e1971,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-001,haul_truck,2026-09-01T16:14:12.813Z,1,-16.552565,-71.509228,127.0,0.8,Pit-A,cycle-acme-s01-truck-001-00001,loading,226.9,240.0,131012.92,40.6,True,True,14355.85,35756.78,False,False,False,91.2,25.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5bae223-94d7-4fd0-9ba8-4f487ef58b7d,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-002,haul_truck,2026-09-01T16:14:12.813Z,1,-16.574077,-71.527701,50.0,0.7,Pit-A,cycle-acme-s01-truck-002-00001,loading,223.3,240.0,51225.92,41.3,True,True,13318.44,40023.09,False,False,False,91.0,24.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc740a17-32e1-4735-b146-9056664e4df4,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-003,haul_truck,2026-09-01T16:14:12.813Z,1,-16.548991,-71.591955,130.4,0.1,Pit-A,cycle-acme-s01-truck-003-00001,loading,218.5,240.0,132403.93,85.8,True,True,9693.82,303001.7,False,False,False,87.9,24.8,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a36552ab-66d0-4285-b3d0-731f3e59bec4,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-004,haul_truck,2026-09-01T16:14:12.813Z,1,-16.654925,-71.481901,173.3,0.2,Pit-A,cycle-acme-s01-truck-004-00001,loading,225.7,240.0,158101.62,31.5,True,True,4096.17,623044.24,False,False,False,93.2,24.5,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f297b91-db7c-46d9-8896-670a0dade633,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-005,haul_truck,2026-09-01T16:14:12.813Z,1,-16.582073,-71.484795,15.5,0.3,Pit-A,cycle-acme-s01-truck-005-00001,loading,226.0,240.0,438170.96,51.5,True,True,16270.32,357823.7,False,False,False,86.2,24.6,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fed49613-59b4-4d89-9468-17ee59ef4420,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-006,haul_truck,2026-09-01T16:14:12.813Z,1,-16.624098,-71.604733,20.1,0.2,Pit-A,cycle-acme-s01-truck-006-00001,loading,216.5,240.0,30162.75,41.0,True,True,13039.87,463880.26,False,False,False,91.7,24.2,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02ec98cf-9303-4f62-943f-5f2969d5f6ce,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-007,haul_truck,2026-09-01T16:14:12.813Z,1,-16.613557,-71.510272,6.7,0.3,Pit-A,cycle-acme-s01-truck-007-00001,loading,223.2,240.0,377008.61,36.4,True,True,8858.68,305648.49,False,False,False,91.6,24.8,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c2f73ad-a057-40a4-b400-ade652db8faa,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-008,haul_truck,2026-09-01T16:14:12.813Z,1,-16.609687,-71.459176,357.3,1.0,Pit-A,cycle-acme-s01-truck-008-00001,loading,217.0,240.0,330815.81,36.4,True,True,13713.58,127817.35,False,False,False,90.5,25.0,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea5ee7b5-655c-4604-b9ec-f101407891f1,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-009,haul_truck,2026-09-01T16:14:12.813Z,1,-16.538912,-71.488693,295.3,0.3,Pit-A,cycle-acme-s01-truck-009-00001,loading,223.2,240.0,348057.99,28.9,True,True,5455.84,224298.12,False,False,False,93.9,24.1,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c3760d2-b63e-4134-9253-3ad8d1e2d52f,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-010,haul_truck,2026-09-01T16:14:12.813Z,1,-16.56553,-71.554199,163.2,1.0,Pit-A,cycle-acme-s01-truck-010-00001,loading,224.7,240.0,395601.78,47.0,True,True,5272.84,614033.12,False,False,False,89.4,24.6,[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
